Season,Team,Player,Pos,TotalPoints,TotalPointsAboveAvg
2018,Appalachian State,Tae Hayes,CB,49,18
2018,Appalachian State,Desmond Franklin,S,44,18
2018,Appalachian State,Anthony Flory,LB,43,16
2018,Appalachian State,Clifton Duck,CB,43,13
2018,Appalachian State,Jordan Fehr,LB,37,12
2018,Appalachian State,Akeem Davis-Gaither,LB,36,4
2018,Appalachian State,Jalin Moore,RB,33,29
2018,Appalachian State,Noel Cook,Edge,33,5
2018,Appalachian State,Ryan Neuzil,LG,29,2
2018,Appalachian State,Chandler Greer,RT,29,1
2018,Appalachian State,Victor Johnson,LT,29,7
2018,Appalachian State,Austin Exford,S,28,11
2018,Appalachian State,Noah Hannon,C,27,-1
2018,Appalachian State,Baer Hunter,RG,23,0
2018,Appalachian State,Okon Godwin,Edge,21,8
2018,Appalachian State,Josh Thomas,S,19,-5
2018,Appalachian State,Chris Willis,IDL,18,7
2018,Appalachian State,Myquon Stout,IDL,16,-1
2018,Appalachian State,Corey Sutton,WR,16,7
2018,Appalachian State,Cole Garrison,RG,13,2
2018,Appalachian State,Darrynton Evans,RB,13,0
2018,Appalachian State,Henry Pearson,TE,12,0
2018,Appalachian State,Caleb Spurlin,IDL,11,1
2018,Appalachian State,Elijah Diarrassouba,IDL,11,-3
2018,Appalachian State,Malik Williams,WR,9,5
2018,Appalachian State,Demetrius Taylor,IDL,9,-1
2018,Appalachian State,Thomas Hennigan,WR,9,-1
2018,Appalachian State,Logan Doublin,LB,7,3
2018,Appalachian State,E.J. Scott,IDL,6,-3
2018,Appalachian State,Jalen Virgil,WR,5,2
2018,Appalachian State,Devin Papenheim,TE,5,-3
2018,Appalachian State,Marcus Williams Jr.,RB,5,-3
2018,Appalachian State,Collin Reed,TE,2,-11
2018,Appalachian State,Trey Cobb,LB,2,-2
2018,Appalachian State,Dominique Heath,WR,1,-3
2018,Appalachian State,Markell Clark,IDL,1,-3
2018,Appalachian State,Brad Absher,WR,1,0
2018,Appalachian State,Mock Adams,WR,-1,-3
2018,Appalachian State,Jacob Huesman,QB,-3,-9
2018,Army,Kelvin Hopkins Jr.,QB,70,51
2018,Army,Elijah Riley,CB,52,22
2018,Army,James Nachtigal,LB,40,8
2018,Army,Bryce Holland,C,39,10
2018,Army,Jaylon McClinton,S,37,5
2018,Army,Jaxson Deaton,LG,36,7
2018,Army,Austin Schuffert,LT,34,5
2018,Army,Peyton Reeder,RG,34,8
2018,Army,Jordan Asberry,RB,29,11
2018,Army,Mike Reynolds,CB,27,14
2018,Army,James Gibson,CB,27,-2
2018,Army,JB Hunter IV,RT,26,-2
2018,Army,Cole Christiansen,LB,24,-8
2018,Army,Kenneth Brinson,Edge,22,-8
2018,Army,Cameron Jones,CB,22,6
2018,Army,Kell Walker,RB,20,5
2018,Army,Javhari Bourdeau,CB,19,-1
2018,Army,Quinten Parker,TE,17,3
2018,Army,Darnell Woolfolk,RB,13,2
2018,Army,Raymond Wright,IDL,13,-14
2018,Army,Chandler Ramirez,Edge,13,-9
2018,Army,Calen Holt,RB,12,8
2018,Army,Camden Harrison,WR,9,4
2018,Army,Amadeo West,IDL,7,1
2018,Army,Wunmi Oyetuga,IDL,7,-16
2018,Army,Artice Hobbs IV,RB,7,3
2018,Army,Christian Hayes,WR,7,5
2018,Army,Connor Slomka,RB,6,3
2018,Army,Jacob Covington,IDL,6,-5
2018,Army,Kjetil Cline,WR,4,1
2018,Army,Max Regan,S,4,-13
2018,Army,Andy Davidson,RB,3,-1
2018,Army,Glen Coates,WR,2,-1
2018,Army,Eddie Crutchfield,IDL,-2,-8
2018,Army,Cam Thomas,QB,-3,-5
2018,Cincinnati,Michael Warren II,RB,46,31
2018,Cincinnati,Cortez Broughton,IDL,42,18
2018,Cincinnati,Desmond Ridder,QB,42,-6
2018,Cincinnati,Kimoni Fitz,Edge,41,16
2018,Cincinnati,James Wiggins,S,37,10
2018,Cincinnati,Marquise Copeland,IDL,36,11
2018,Cincinnati,Dino Boyd,LT,34,8
2018,Cincinnati,Darrick Forrest,S,34,5
2018,Cincinnati,Cameron Jefferies,CB,34,9
2018,Cincinnati,Malik Clements,LB,33,8
2018,Cincinnati,Chris Ferguson,RT,29,5
2018,Cincinnati,Perry Young,LB,25,10
2018,Cincinnati,Morgan James,RG,25,-1
2018,Cincinnati,Jarell White,LB,25,8
2018,Cincinnati,Bryan Wright,LB,24,-1
2018,Cincinnati,Kyle Trout,LG,23,-3
2018,Cincinnati,Coby Bryant,CB,22,-7
2018,Cincinnati,Josiah Deguara,TE,21,2
2018,Cincinnati,Jakari Robinson,C,18,3
2018,Cincinnati,Ethan Tucky,Edge,16,7
2018,Cincinnati,Kahlil Lewis,WR,16,7
2018,Cincinnati,Tyrell Gilbert,CB,16,1
2018,Cincinnati,Garrett Campbell,C,16,1
2018,Cincinnati,Hayden Moore,QB,14,5
2018,Cincinnati,Tavion Thomas,RB,13,9
2018,Cincinnati,Rashad Medaris,WR,11,4
2018,Cincinnati,Curtis Brooks,IDL,11,3
2018,Cincinnati,Michael Pitts,Edge,11,-10
2018,Cincinnati,Charles McClelland,RB,10,6
2018,Cincinnati,Bruno Labelle,TE,10,0
2018,Cincinnati,Joel Dublanko,LB,8,2
2018,Cincinnati,Malik Vann,Edge,5,0
2018,Cincinnati,Jayshon Jackson,WR,4,0
2018,Cincinnati,Marcus Brown,IDL,4,-1
2018,Cincinnati,Javan Hawes,WR,1,-1
2018,Cincinnati,Trent Cloud,WR,0,-1
2018,Cincinnati,Jerron Rollins,WR,-1,-3
2018,Cincinnati,Thomas Geddis,WR,-1,-8
2018,Cincinnati,Wilson Huber,LB,-3,-6
2018,Clemson,Trevor Lawrence,QB,144,81
2018,Clemson,Travis Etienne,RB,80,66
2018,Clemson,Clelin Ferrell,Edge,66,41
2018,Clemson,A.J. Terrell,CB,58,28
2018,Clemson,Christian Wilkins,IDL,51,28
2018,Clemson,Isaiah Simmons,LB,45,16
2018,Clemson,Tre Lamar,LB,44,23
2018,Clemson,Trayvon Mullen,CB,43,16
2018,Clemson,Dexter Lawrence,IDL,36,20
2018,Clemson,Austin Bryant,Edge,36,12
2018,Clemson,Justin Falcinelli,C,31,5
2018,Clemson,Justyn Ross,WR,30,24
2018,Clemson,Tremayne Anchrum,RT,30,4
2018,Clemson,Tanner Muse,S,29,5
2018,Clemson,Tee Higgins,WR,27,18
2018,Clemson,Mitch Hyatt,LT,26,-2
2018,Clemson,Kendall Joseph,LB,26,-2
2018,Clemson,Lyn-J Dixon,RB,26,23
2018,Clemson,Xavier Thomas,Edge,25,13
2018,Clemson,John Simpson,LG,25,-2
2018,Clemson,K'Von Wallace,S,23,-3
2018,Clemson,Gage Cervenka,RG,22,6
2018,Clemson,Adam Choice,RB,20,14
2018,Clemson,Albert Huggins,IDL,19,4
2018,Clemson,Chase Brice,QB,19,12
2018,Clemson,J.D. Davis,LB,18,5
2018,Clemson,Nolan Turner,S,17,1
2018,Clemson,Sean Pollard,RG,16,1
2018,Clemson,Amari Rodgers,WR,16,8
2018,Clemson,Nyles Pinckney,IDL,15,3
2018,Clemson,Hunter Renfrow,WR,14,5
2018,Clemson,Tavien Feaster,RB,14,8
2018,Clemson,Denzel Johnson,S,13,-1
2018,Clemson,Chad Smith,LB,12,8
2018,Clemson,Justin Foster,Edge,9,3
2018,Clemson,Kelly Bryant,QB,9,0
2018,Clemson,Jordan Williams,IDL,9,4
2018,Clemson,Cade Stewart,RG,8,-1
2018,Clemson,Matt Bockhorst,LG,8,3
2018,Clemson,Jackson Carman,LT,8,1
2018,Clemson,Mark Fields,CB,8,-3
2018,Clemson,Garrett Williams,TE,7,-5
2018,Clemson,Derion Kendrick,CB,7,2
2018,Clemson,Milan Richard,TE,7,-2
2018,Clemson,Logan Rudolph,Edge,6,1
2018,Clemson,Jalen Williams,LB,5,-4
2018,Clemson,Shaq Smith,LB,5,0
2018,Clemson,Kyler McMichael,CB,5,2
2018,Clemson,Chandler Reeves,RT,5,1
2018,Clemson,Mario Goodrich,CB,4,0
2018,Clemson,Diondre Overton,WR,4,1
2018,Clemson,Zach Giella,C,4,0
2018,Clemson,JC Chalk,TE,3,0
2018,Clemson,Cannon Smith,TE,3,0
2018,Clemson,Will Swinney,WR,1,0
2018,Clemson,Trevion Thompson,WR,1,-4
2018,Clemson,TJ Chase,WR,0,-2
2018,Florida,Feleipe Franks,QB,68,14
2018,Florida,Chauncey Gardner-Johnson,CB,63,39
2018,Florida,Jordan Scarlett,RB,57,47
2018,Florida,Jachai Polite,Edge,46,27
2018,Florida,Vosean Joseph,LB,38,14
2018,Florida,Jabari Zuniga,Edge,34,11
2018,Florida,Jawaan Taylor,RT,32,6
2018,Florida,Trey Dean III,CB,31,8
2018,Florida,CJ Henderson,CB,30,4
2018,Florida,Martez Ivey,LT,29,2
2018,Florida,Adam Shuler,IDL,25,8
2018,Florida,Fredrick Johnson,RG,24,0
2018,Florida,Kadarius Toney,WR,24,20
2018,Florida,Jeawon Taylor,S,23,3
2018,Florida,Tyler Jordan,LG,23,-4
2018,Florida,David Reese II,LB,22,2
2018,Florida,Nick Buchanan,C,22,-4
2018,Florida,Kyree Campbell,IDL,21,7
2018,Florida,Brad Stewart Jr.,S,21,10
2018,Florida,Lamical Perine,RB,19,10
2018,Florida,Rayshad Jackson,LB,18,9
2018,Florida,Jeremiah Moon,Edge,16,6
2018,Florida,Josh Hammond,WR,13,7
2018,Florida,CJ McWilliams,CB,12,4
2018,Florida,C'yontai Lewis,TE,11,-1
2018,Florida,Van Jefferson,WR,11,2
2018,Florida,Moral Stephens,TE,10,1
2018,Florida,Trevon Grimes,WR,9,3
2018,Florida,Shawn Davis,S,9,1
2018,Florida,Freddie Swain,WR,8,4
2018,Florida,Cece Jefferson,Edge,8,-6
2018,Florida,Brian Edwards,CB,8,4
2018,Florida,Khairi Clark,IDL,8,1
2018,Florida,Amari Burney,LB,8,4
2018,Florida,James Houston IV,LB,7,1
2018,Florida,Luke Ancrum,Edge,6,1
2018,Florida,Elijah Conliffe,IDL,6,1
2018,Florida,Kylan Johnson,LB,6,1
2018,Florida,Zachary Carter,Edge,5,1
2018,Florida,Brett Heggie,RG,5,1
2018,Florida,Tedarrell Slaton,IDL,4,-4
2018,Florida,Dameon Pierce,RB,3,-1
2018,Florida,Donovan Stiner,S,3,-19
2018,Florida,Marlon Dunlap Jr,IDL,2,-5
2018,Florida,Tyrie Cleveland,WR,2,-4
2018,Florida,Kemore Gamble,TE,1,-3
2018,Florida,Kyle Pitts,TE,0,-1
2018,Fresno State,Marcus McMaryion,QB,141,73
2018,Fresno State,Jeff Allison,LB,53,23
2018,Fresno State,Mykal Walker,Edge,51,22
2018,Fresno State,Juju Hughes,S,50,16
2018,Fresno State,Mike Bell,S,46,12
2018,Fresno State,Anthoula Kelly,CB,44,11
2018,Fresno State,James Bailey,LB,35,3
2018,Fresno State,Jaron Bryant,CB,33,2
2018,Fresno State,Markus Boyer,C,33,3
2018,Fresno State,Christian Cronk,LT,32,3
2018,Fresno State,Syrus Tuitele,RT,30,4
2018,Fresno State,Micah St. Andrew,RG,30,1
2018,Fresno State,KeeSean Johnson,WR,29,16
2018,Fresno State,Jared Rice,TE,28,3
2018,Fresno State,Ronnie Rivers,RB,24,13
2018,Fresno State,Logan Hughes,LG,20,0
2018,Fresno State,George Helmuth,LB,18,-13
2018,Fresno State,Kevin Atkins,IDL,15,-3
2018,Fresno State,Kyle Riddering,TE,12,-1
2018,Fresno State,Jasad Haynes,IDL,10,-5
2018,Fresno State,Wylan Free,CB,10,1
2018,Fresno State,Arron Mosby,LB,9,3
2018,Fresno State,Keiti Iakopo,IDL,8,-6
2018,Fresno State,Isaiah Johnson,Edge,8,1
2018,Fresno State,Nick Abbs,LG,6,-2
2018,Fresno State,Ricky McCoy,IDL,5,-2
2018,Fresno State,Dontae Bull,RT,4,1
2018,Fresno State,Emeka Ndoh,Edge,4,-5
2018,Fresno State,Patrick Belony,IDL,2,-15
2018,Fresno State,Jamire Jordan,WR,2,-7
2018,Fresno State,Andrew Wright,Edge,1,-4
2018,Fresno State,Justin Allen,WR,1,-2
2018,Fresno State,Derrion Grim,WR,0,-6
2018,Fresno State,Delvon Hardaway,WR,0,-2
2018,Fresno State,Jordan Mims,RB,-1,-9
2018,Fresno State,Michiah Quick,WR,-4,-8
2018,Fresno State,Kwami Jones,Edge,-5,-30
2018,Fresno State,Josh Hokit,RB,-8,-13
2018,Fresno State,Dejonte O'Neal,RB,-9,-11
2018,Georgia,Jake Fromm,QB,111,59
2018,Georgia,D'Andre Swift,RB,63,51
2018,Georgia,Deandre Baker,CB,56,28
2018,Georgia,Elijah Holyfield,RB,48,39
2018,Georgia,Tyson Campbell,CB,47,24
2018,Georgia,D'Andre Walker,Edge,46,26
2018,Georgia,J.R. Reed,S,43,12
2018,Georgia,Jonathan Ledbetter,Edge,36,19
2018,Georgia,Juwan Taylor,CB,35,15
2018,Georgia,Isaiah Wilson,RT,32,2
2018,Georgia,Richard LeCounte,S,32,1
2018,Georgia,Solomon Kindley,LG,31,4
2018,Georgia,Lamont Gaillard,C,30,3
2018,Georgia,Andrew Thomas,LT,28,5
2018,Georgia,Justin Fields,QB,27,19
2018,Georgia,Eric Stokes,CB,26,10
2018,Georgia,Tyrique McGhee,CB,24,4
2018,Georgia,Riley Ridley,WR,23,13
2018,Georgia,Isaac Nauta,TE,21,4
2018,Georgia,Tyler Clark,IDL,21,6
2018,Georgia,Tae Crowder,LB,21,6
2018,Georgia,Monty Rice,LB,19,7
2018,Georgia,Cade Mays,RG,17,-1
2018,Georgia,Terry Godwin,WR,17,11
2018,Georgia,Jeremiah Holloman,WR,16,9
2018,Georgia,Malik Herring,Edge,16,6
2018,Georgia,Charlie Woerner,TE,15,0
2018,Georgia,Jordan Davis,IDL,15,4
2018,Georgia,Devonte Wyatt,IDL,14,5
2018,Georgia,Julian Rochester,IDL,13,-5
2018,Georgia,Trey Hill,RG,12,-2
2018,Georgia,Mark Webb,CB,11,3
2018,Georgia,Tyler Simmons,WR,10,7
2018,Georgia,Natrez Patrick,LB,10,-4
2018,Georgia,Brenton Cox Jr.,Edge,9,-2
2018,Georgia,Ben Cleveland,RG,9,2
2018,Georgia,Michael Barnett,IDL,9,-1
2018,Georgia,Walter Grant,Edge,8,-1
2018,Georgia,Robert Beal Jr.,Edge,8,4
2018,Georgia,Brian Herrien,RB,8,4
2018,Georgia,Mecole Hardman,WR,7,0
2018,Georgia,Jayson Stanley,WR,4,2
2018,Georgia,Kendall Baker,RG,4,-1
2018,Georgia,Otis Reese,S,2,-3
2018,Georgia,Michail Carter,IDL,1,-4
2018,Georgia,William Poole,CB,1,-3
2018,Georgia Southern,Shai Werts,WR,46,14
2018,Georgia Southern,Monquavion Brinson,CB,35,7
2018,Georgia Southern,Kindle Vildor,CB,34,3
2018,Georgia Southern,Jeremiah Culbreth,LT,34,5
2018,Georgia Southern,Brian Miller,RT,27,1
2018,Georgia Southern,Curtis Rainey,C,27,-3
2018,Georgia Southern,Raymond Johnson III,IDL,26,5
2018,Georgia Southern,Aaron Dowdell,LG,26,0
2018,Georgia Southern,Jakob Cooper,RG,25,0
2018,Georgia Southern,Jessie Liptrot,CB,21,13
2018,Georgia Southern,Rashad Byrd,LB,21,7
2018,Georgia Southern,Kenderick Duncan Jr.,S,21,9
2018,Georgia Southern,Montero Garrett,RB,20,14
2018,Georgia Southern,Jay Bowdry,LB,18,-1
2018,Georgia Southern,Ty Phillips,IDL,18,3
2018,Georgia Southern,John Wesley Kennedy III,RB,17,12
2018,Georgia Southern,Joshua Moon,S,17,-11
2018,Georgia Southern,Quan Griffin,IDL,15,2
2018,Georgia Southern,Logan Wright,RB,14,9
2018,Georgia Southern,Ellis Richardson,TE,14,1
2018,Georgia Southern,Logan Hunt,IDL,13,-6
2018,Georgia Southern,Lane Ecton,Edge,12,-1
2018,Georgia Southern,Wesley Fields,RB,11,-2
2018,Georgia Southern,Ian Bush,IDL,10,-1
2018,Georgia Southern,Cam Brown,TE,10,-1
2018,Georgia Southern,Randy Wade Jr,Edge,8,-11
2018,Georgia Southern,Darion Anderson,WR,8,4
2018,Georgia Southern,Sean Freeman,S,8,-13
2018,Georgia Southern,Chris Harris Jr.,LB,8,-10
2018,Georgia Southern,Obe Fortune,WR,5,1
2018,Georgia Southern,Lawrence Edwards,RG,5,-1
2018,Georgia Southern,Jake Edwards,RT,4,-3
2018,Georgia Southern,Traver Vliem,IDL,4,-6
2018,Georgia Southern,Colby Ransom,WR,3,-1
2018,Georgia Southern,Deshon Cooper,Edge,3,-8
2018,Georgia Southern,CJ Wright,IDL,3,-4
2018,Georgia Southern,Tre Allen,LB,2,-2
2018,Georgia Southern,Mark Michaud,WR,1,-1
2018,Georgia Southern,Marcus Rogers,WR,1,-1
2018,Georgia Southern,Malik Murray,WR,1,0
2018,Georgia Southern,Tomarico Reese,LB,0,-25
2018,Kentucky,Terry Wilson,QB,72,20
2018,Kentucky,Josh Allen,Edge,72,44
2018,Kentucky,Darius West,S,51,23
2018,Kentucky,Mike Edwards,CB,50,19
2018,Kentucky,Derrick Baity Jr.,CB,40,12
2018,Kentucky,Benny Snell Jr.,RB,35,16
2018,Kentucky,Logan Stenberg,LG,27,0
2018,Kentucky,Davonte Robinson,CB,27,10
2018,Kentucky,Drake Jackson,C,25,-4
2018,Kentucky,Lonnie Johnson Jr.,CB,24,-1
2018,Kentucky,George Asafo-Adjei,RT,22,-4
2018,Kentucky,Calvin Taylor Jr.,IDL,21,6
2018,Kentucky,Bunchy Stallings,RG,20,-6
2018,Kentucky,EJ Price,LT,20,0
2018,Kentucky,Jordan Jones,LB,19,-3
2018,Kentucky,Phil Hoskins,IDL,19,7
2018,Kentucky,Kash Daniel,LB,18,-6
2018,Kentucky,Lynn Bowden Jr.,QB,18,9
2018,Kentucky,Chris Westry,CB,16,6
2018,Kentucky,C.J. Conrad,TE,16,1
2018,Kentucky,Jamar Watson,Edge,15,-3
2018,Kentucky,T.J. Carter,IDL,15,0
2018,Kentucky,Quinton Bohanna,IDL,14,5
2018,Kentucky,Asim Rose,RB,13,8
2018,Kentucky,Adrian Middleton,IDL,12,-3
2018,Kentucky,Chris Oats,LB,12,6
2018,Kentucky,Darian Kinnard,LT,11,3
2018,Kentucky,Kordell Looney,IDL,9,-2
2018,Kentucky,Tyrell Ajian,S,9,4
2018,Kentucky,Deandre Square,LB,9,-1
2018,Kentucky,Justin Rigg,TE,7,0
2018,Kentucky,Jordan Griffin,S,6,-2
2018,Kentucky,Luke Fortner,LG,5,0
2018,Kentucky,Tymere Dubose,IDL,5,-8
2018,Kentucky,Naasir Watkins,LT,5,-1
2018,Kentucky,David Bouvier,WR,4,0
2018,Kentucky,Tavin Richardson,WR,4,-4
2018,Kentucky,Josh Ali,WR,2,-1
2018,Kentucky,Isaiah Epps,WR,2,-2
2018,Kentucky,Dorian Baker,WR,1,-4
2018,LSU,Joe Burrow,QB,111,49
2018,LSU,Devin White,LB,62,33
2018,LSU,Grant Delpit,S,62,32
2018,LSU,Greedy Williams,CB,47,20
2018,LSU,Rashard Lawrence,IDL,39,15
2018,LSU,Lloyd Cushenberry III,C,38,8
2018,LSU,Damien Lewis,RG,35,5
2018,LSU,Jacob Phillips,LB,34,7
2018,LSU,Michael Divinity Jr.,Edge,34,8
2018,LSU,Kristian Fulton,CB,32,12
2018,LSU,Foster Moreau,TE,28,2
2018,LSU,Clyde Edwards-Helaire,RB,25,17
2018,LSU,John Battle,S,24,5
2018,LSU,Glen Logan,IDL,24,2
2018,LSU,Kary Vincent Jr.,CB,23,1
2018,LSU,Saahdiq Charles,LT,22,-2
2018,LSU,JaCoby Stevens,CB,22,11
2018,LSU,Austin Deculus,RT,19,-6
2018,LSU,Justin Jefferson,WR,18,7
2018,LSU,Ed Alexander,IDL,17,4
2018,LSU,Patrick Queen,LB,17,8
2018,LSU,Nick Brossette,RB,16,0
2018,LSU,Garrett Brumfield,LG,15,-1
2018,LSU,Neil Farrell Jr.,IDL,15,7
2018,LSU,Todd Harris Jr.,S,12,2
2018,LSU,Derrick Dillon,WR,12,5
2018,LSU,Chasen Hines,LG,10,1
2018,LSU,Terrence Alexander,CB,9,-1
2018,LSU,Breiden Fehoko,IDL,8,-6
2018,LSU,Badara Traore,LT,7,0
2018,LSU,Stephen Sullivan,TE,7,1
2018,LSU,Tory Carter,TE,6,-1
2018,LSU,Terrace Marshall Jr.,WR,6,2
2018,LSU,Ray Thornton,Edge,5,-5
2018,LSU,Adrian Magee,LG,5,-2
2018,LSU,Dee Anderson,WR,5,0
2018,LSU,Kelvin Joseph,CB,5,-2
2018,LSU,Ja'Marr Chase,WR,4,-1
2018,LSU,Tyler Shelvin,IDL,4,-1
2018,LSU,Micah Baskerville,LB,4,-1
2018,LSU,Andre Anthony,Edge,1,-8
2018,LSU,Jonathan Giles,WR,1,-2
2018,Michigan,Shea Patterson,QB,105,51
2018,Michigan,Josh Metellus,S,50,24
2018,Michigan,Chase Winovich,Edge,48,23
2018,Michigan,Brandon Watson,CB,47,22
2018,Michigan,David Long,CB,38,16
2018,Michigan,Lavert Hill,CB,34,12
2018,Michigan,Jon Runyan,LT,34,5
2018,Michigan,Zach Gentry,TE,32,10
2018,Michigan,Michael Onwenu,RG,31,2
2018,Michigan,Devin Bush,LB,31,5
2018,Michigan,Rashan Gary,Edge,29,16
2018,Michigan,Ben Bredeson,LG,29,1
2018,Michigan,Kwity Paye,Edge,29,14
2018,Michigan,Cesar Ruiz,C,29,0
2018,Michigan,Juwann Bushell-Beatty,RT,27,5
2018,Michigan,Tyree Kinnel,S,27,1
2018,Michigan,Josh Ross,LB,26,10
2018,Michigan,Khaleke Hudson,CB,20,-6
2018,Michigan,Joshua Uche,Edge,20,14
2018,Michigan,Donovan Peoples-Jones,WR,18,9
2018,Michigan,Michael Dwumfour,IDL,17,4
2018,Michigan,Devin Gil,LB,15,2
2018,Michigan,Jordan Glasgow,LB,15,9
2018,Michigan,Carlo Kemp,IDL,15,0
2018,Michigan,Chris Evans,RB,14,8
2018,Michigan,Sean McKeon,TE,14,-3
2018,Michigan,Lawrence Marshall,IDL,12,4
2018,Michigan,Ambry Thomas,CB,11,7
2018,Michigan,Brad Hawkins,S,11,2
2018,Michigan,Noah Furbush,Edge,10,5
2018,Michigan,Karan Higdon,RB,10,-2
2018,Michigan,Bryan Mone,IDL,9,-3
2018,Michigan,Tru Wilson,RB,9,5
2018,Michigan,Nick Eubanks,TE,8,2
2018,Michigan,Andrew Stueber,RT,8,0
2018,Michigan,Aidan Hutchinson,Edge,8,0
2018,Michigan,Nico Collins,WR,8,0
2018,Michigan,Ben Mason,FB,6,2
2018,Michigan,Oliver Martin,WR,4,2
2018,Michigan,Ronnie Bell,WR,2,0
2018,Michigan,Tarik Black,WR,2,0
2018,Michigan,Grant Perry,WR,1,-5
2018,Notre Dame,Ian Book,QB,101,48
2018,Notre Dame,Te'von Coney,LB,67,35
2018,Notre Dame,Julian Love,CB,49,19
2018,Notre Dame,Alohi Gilman,S,48,17
2018,Notre Dame,Julian Okwara,Edge,40,21
2018,Notre Dame,Troy Pride Jr.,CB,35,9
2018,Notre Dame,Jerry Tillery,IDL,34,11
2018,Notre Dame,Jalen Elliott,S,34,3
2018,Notre Dame,Sam Mustipher,C,33,4
2018,Notre Dame,Dexter Williams,RB,33,22
2018,Notre Dame,Robert Hainsey,RT,32,4
2018,Notre Dame,Khalid Kareem,Edge,32,11
2018,Notre Dame,Liam Eichenberg,LT,31,3
2018,Notre Dame,Drue Tranquill,LB,27,0
2018,Notre Dame,Tommy Kraemer,RG,19,-4
2018,Notre Dame,Chase Claypool,WR,18,6
2018,Notre Dame,Asmar Bilal,LB,17,-3
2018,Notre Dame,Adetokunbo Ogundeji,Edge,17,8
2018,Notre Dame,Brandon Wimbush,QB,17,0
2018,Notre Dame,Aaron Banks,LG,16,1
2018,Notre Dame,Tony Jones Jr.,RB,13,7
2018,Notre Dame,Trevor Ruhland,RG,12,2
2018,Notre Dame,Chris Finke,WR,12,3
2018,Notre Dame,Daelin Hayes,Edge,11,-4
2018,Notre Dame,Cole Kmet,TE,11,2
2018,Notre Dame,Alex Bars,LG,10,0
2018,Notre Dame,Jonathan Bonner,IDL,10,-4
2018,Notre Dame,Miles Boykin,WR,10,-2
2018,Notre Dame,Alize Mack,TE,10,-5
2018,Notre Dame,Jafar Armstrong,WR,9,3
2018,Notre Dame,Jayson Ademilola,IDL,7,2
2018,Notre Dame,Nick Coleman,CB,6,-1
2018,Notre Dame,Houston Griffith,CB,5,-1
2018,Notre Dame,Jamir Jones,Edge,5,-2
2018,Notre Dame,Kurt Hinish,IDL,4,-9
2018,Notre Dame,Kevin Austin Jr.,WR,2,1
2018,Notre Dame,Nic Weishar,TE,1,-5
2018,Notre Dame,Jordan Genmark Heath,LB,0,-4
2018,Notre Dame,Micah Dew-Treadway,IDL,0,-4
2018,Notre Dame,Michael Young,WR,0,-1
2018,Notre Dame,Donte Vaughn,CB,-1,-8
2018,Ohio State,Dwayne Haskins,QB,187,113
2018,Ohio State,Dre'Mont Jones,IDL,59,30
2018,Ohio State,Chase Young,Edge,43,17
2018,Ohio State,Malik Harrison,LB,39,9
2018,Ohio State,Isaiah Prince,RT,38,9
2018,Ohio State,Malcolm Pridgeon,LG,38,8
2018,Ohio State,Pete Werner,LB,35,6
2018,Ohio State,Kendall Sheffield,CB,34,6
2018,Ohio State,Mike Weber,RB,34,23
2018,Ohio State,Thayer Munford,LT,32,7
2018,Ohio State,Jordan Fuller,S,31,1
2018,Ohio State,Michael Jordan,C,31,2
2018,Ohio State,Shaun Wade,CB,30,12
2018,Ohio State,Tuf Borland,LB,29,10
